"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000222","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","Cristo crocifisso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000222","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000223","Santa Lucia (dipinto, opera isolata) - ambito Italia settentrionale (sec. XVII)","https://w3id.org/arco/resource/Subject/7a2916ea579a45c6708347e13125c538","11 HH (LUCIA) : 11 HH (LUCIA) 68","Santa Lucia","Santa Lucia"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000223","Santa Lucia (dipinto, opera isolata) - ambito Italia settentrionale (sec. XVII)","https://w3id.org/arco/resource/Subject/7a2916ea579a45c6708347e13125c538","11 HH (LUCIA) : 11 HH (LUCIA) 68","Santa Lucia","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000224","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","Cristo crocifisso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000224","Cristo crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo crocifisso","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000224A","motivi decorativi vegetali stilizzati (candeliere d'altare, serie) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/c0735bcfb94d343ba18221e1ec0931ac","48 AA 98 3","motivi decorativi vegetali stilizzati","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000224A","motivi decorativi vegetali stilizzati (candeliere d'altare, serie) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/c0735bcfb94d343ba18221e1ec0931ac","48 AA 98 3","motivi decorativi vegetali stilizzati","motivi decorativi vegetali stilizzati"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000225","San Crispino e San Crispiniano (dipinto, opera isolata) - ambito Italia settentrionale (sec. XVIII)","https://w3id.org/arco/resource/Subject/bd5c3e1eaafeed36469b807200441ad8","11 H (CRISPINO E CRISPINIANO) 41 : 11 F 5","San Crispino e San Crispiniano","San Crispino e San Crispiniano"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000225","San Crispino e San Crispiniano (dipinto, opera isolata) - ambito Italia settentrionale (sec. XVIII)","https://w3id.org/arco/resource/Subject/bd5c3e1eaafeed36469b807200441ad8","11 H (CRISPINO E CRISPINIANO) 41 : 11 F 5","San Crispino e San Crispiniano","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
